X,S=0,S=1,S=2,S=3,S=4,S=5,S=6
0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000, 0.000000000000
0.010000000000, 0.010000000000, 0.000298000000, 0.000009850600, 0.000000341670, 0.000000012185, 0.000000000443, 0.000000000016
0.020000000000, 0.020000000000, 0.001184000000, 0.000077619200, 0.000005335654, 0.000000377003, 0.000000027121, 0.000000001976
0.030000000000, 0.030000000000, 0.002646000000, 0.000257995800, 0.000026359393, 0.000002767225, 0.000000295709, 0.000000031998
0.040000000000, 0.040000000000, 0.004672000000, 0.000602214400, 0.000081281843, 0.000011268508, 0.000001589864, 0.000000227111
0.050000000000, 0.050000000000, 0.007250000000, 0.001158125000, 0.000193578125, 0.000033222207, 0.000005801345, 0.000001025545
0.060000000000, 0.060000000000, 0.010368000000, 0.001970265600, 0.000391491533, 0.000079841532, 0.000016564116, 0.000003478346
0.070000000000, 0.070000000000, 0.014014000000, 0.003079934200, 0.000707241921, 0.000166623986, 0.000039924766, 0.000009681663
0.080000000000, 0.080000000000, 0.018176000000, 0.004525260800, 0.001176279450, 0.000313581854, 0.000085001499, 0.000023315280
0.090000000000, 0.090000000000, 0.022842000000, 0.006341279400, 0.001836582676, 0.000545311360, 0.000164592926, 0.000050263180
0.100000000000, 0.100000000000, 0.028000000000, 0.008560000000, 0.002728000000, 0.000890920000, 0.000295706080, 0.000099285486
0.110000000000, 0.110000000000, 0.033638000000, 0.011210480600, 0.003891633436, 0.001383830455, 0.000499980372, 0.000182707654
0.120000000000, 0.120000000000, 0.039744000000, 0.014318899200, 0.005369263718, 0.002061478444, 0.000803990795, 0.000317091577
0.130000000000, 0.130000000000, 0.046306000000, 0.017908625800, 0.007202815727, 0.002964920809, 0.001239419514, 0.000523854128
0.140000000000, 0.140000000000, 0.053312000000, 0.022000294400, 0.009433863219, 0.004138369120, 0.001843090157, 0.000829801004
0.150000000000, 0.150000000000, 0.060750000000, 0.026611875000, 0.012103171875, 0.005628663105, 0.002656863580, 0.001267547302
0.160000000000, 0.160000000000, 0.068608000000, 0.031758745600, 0.015250279629, 0.007484697236, 0.003727397851, 0.001875800714
0.170000000000, 0.170000000000, 0.076874000000, 0.037453764200, 0.018913113295, 0.009756812846, 0.005105778470, 0.002699488318
0.180000000000, 0.180000000000, 0.085536000000, 0.043707340800, 0.023127640474, 0.012496167285, 0.006847027691, 0.003789713343
0.190000000000, 0.190000000000, 0.094582000000, 0.050527509400, 0.027927555722, 0.015754090674, 0.009009504098, 0.005203533894
0.200000000000, 0.200000000000, 0.104000000000, 0.057920000000, 0.033344000000, 0.019581440000, 0.011654205440, 0.007003561165
0.210000000000, 0.210000000000, 0.113778000000, 0.065888310600, 0.039405312362, 0.024027959435, 0.014843989173, 0.009257380062
0.220000000000, 0.220000000000, 0.123904000000, 0.074433779200, 0.046136812902, 0.029141654944, 0.018642726164, 0.012036800175
0.230000000000, 0.230000000000, 0.134366000000, 0.083555655800, 0.053560615941, 0.034968190484, 0.023114403709, 0.015416949704
0.240000000000, 0.240000000000, 0.145152000000, 0.093251174400, 0.061695472435, 0.041550312301, 0.028322194350, 0.019475229065
0.250000000000, 0.250000000000, 0.156250000000, 0.103515625000, 0.070556640625, 0.048927307129, 0.034327507019, 0.024290144444
0.260000000000, 0.260000000000, 0.167648000000, 0.114342425600, 0.080155783885, 0.057134499354, 0.041189036836, 0.029940044545
