# 128 coefficient => 1x color value (identity output)
# No single term, nor sum of line should exceed 255!

# Edge detect (87.50% Edge + 25.00% Brightness, Bilinear interpolated)

# horizontal coefficients
-112, 255,-112,   0
-105, 232, -89,  -7
 -98, 209, -66, -14
 -91, 186, -43, -21
 -84, 163, -20, -28
 -77, 140,   3, -35
 -70, 117,  26, -42
 -63,  94,  49, -49
 -56,  72,  72, -56
 -49,  49,  94, -63
 -42,  26, 117, -70
 -35,   3, 140, -77
 -28, -20, 163, -84
 -21, -43, 186, -91
 -14, -66, 209, -98
  -7, -89, 232,-105

# vertical coefficients
-112, 255,-112,   0
-105, 232, -89,  -7
 -98, 209, -66, -14
 -91, 186, -43, -21
 -84, 163, -20, -28
 -77, 140,   3, -35
 -70, 117,  26, -42
 -63,  94,  49, -49
 -56,  72,  72, -56
 -49,  49,  94, -63
 -42,  26, 117, -70
 -35,   3, 140, -77
 -28, -20, 163, -84
 -21, -43, 186, -91
 -14, -66, 209, -98
  -7, -89, 232,-105
